"Kaufdatum";"SKU";"Einheit";"St. Frei Betrag";"Einkauf Bemerkung";"Verkaufsdatum";"Verkaufsbetrag";"Verkauf Bemerkung";"Zu besteuernder Betrag";"Rechnung Nr."
"29.12.2025";"TG012030";"1g";"129,40";"";"17.01.2026";"161,80";"5x 1g in einer Bestellung (hier wurden 6,90Euro Portokosten berechnet)";"32,40";"18401"
"29.12.2025";"TG012030";"1g";"129,40";"";"20.01.2026";"155,85";"";"26,45";"18411"
"29.12.2025";"TG012030";"1g";"129,40";"";"19.01.2026";"154,90";"6x 1g in einer Bestellung (Hier kein Porto Berechnet)";"25,50";"18410"
"29.12.2025";"TG012030";"1g";"129,40";"";"19.01.2026";"154,90";"6x 1g in einer Bestellung (Hier kein Porto Berechnet)";"25,50";"18410"
"29.12.2025";"TG012030";"1g";"131,50";"";"19.01.2026";"154,90";"6x 1g in einer Bestellung (Hier kein Porto Berechnet)";"23,40";"18410"
"29.12.2025";"TG012030";"1g";"131,50";"";"19.01.2026";"154,90";"6x 1g in einer Bestellung (Hier kein Porto Berechnet)";"23,40";"18410"
"29.12.2025";"TG012030";"1g";"131,50";"";"19.01.2026";"154,90";"6x 1g in einer Bestellung (Hier kein Porto Berechnet)";"23,40";"18410"
"29.12.2025";"TG012030";"1g";"131,50";"";"19.01.2026";"160,80";"6x 1g in einer Bestellung (Hier Porto Berechnet von 5,90Euro)";"29,30";"18410"
"29.12.2025";"TG012030";"1g";"131,50";"";"21.01.2026";"149,95";"2x 1g in einer Bestellung (Portokosten hier nicht berechent)";"18,45";"18413"
"29.12.2025";"TG012030";"1g";"131,50";"";"21.01.2026";"155,85";"2x 1g in einer Bestellung (Portokosten hier berechent 5,90Euro)";"24,35";"18413"
"16.01.2026";"TG012034";"1g";"136,57";"";"21.01.2026";"154,90";"12x 1g in einer Bestellung (Hier kein Porto berechnet)";"18,33";"18414"
"16.01.2026";"TG012034";"1g";"136,57";"";"21.01.2026";"154,90";"12x 1g in einer Bestellung (Hier kein Porto berechnet)";"18,33";"18414"
"16.01.2026";"TG012034";"1g";"136,57";"";"21.01.2026";"154,90";"12x 1g in einer Bestellung (Hier kein Porto berechnet)";"18,33";"18414"
"16.01.2026";"TG012034";"1g";"136,57";"";"21.01.2026";"154,90";"12x 1g in einer Bestellung (Hier kein Porto berechnet)";"18,33";"18414"
"16.01.2026";"TG012034";"1g";"136,57";"";"21.01.2026";"154,90";"12x 1g in einer Bestellung (Hier kein Porto berechnet)";"18,33";"18414"
"16.01.2026";"TG012034";"1g";"136,57";"";"21.01.2026";"154,90";"12x 1g in einer Bestellung (Hier kein Porto berechnet)";"18,33";"18414"
"16.01.2026";"TG012034";"1g";"136,57";"";"21.01.2026";"154,90";"12x 1g in einer Bestellung (Hier kein Porto berechnet)";"18,33";"18414"
"16.01.2026";"TG012034";"1g";"136,57";"";"21.01.2026";"154,90";"12x 1g in einer Bestellung (Hier kein Porto berechnet)";"18,33";"18414"
"16.01.2026";"TG012034";"1g";"136,57";"";"21.01.2026";"154,90";"12x 1g in einer Bestellung (Hier kein Porto berechnet)";"18,33";"18414"
"16.01.2026";"TG012034";"1g";"136,57";"";"21.01.2026";"154,90";"12x 1g in einer Bestellung (Hier kein Porto berechnet)";"18,33";"18414"
"16.01.2026";"TG012034";"1g";"136,57";"";"21.01.2026";"154,90";"12x 1g in einer Bestellung (Hier kein Porto berechnet)";"18,33";"18414"
"16.01.2026";"TG012034";"1g";"136,57";"";"21.01.2026";"160,80";"12x 1g in einer Bestellung (Hier Porto berechnet 5,90Euro)";"24,23";"18414"
"16.01.2026";"TG012034";"1g";"136,57";"";"21.01.2026";"154,90";"2x 1g in einer Bestellung (Hier keine Portokosten berechent)";"18,33";"18417"
"16.01.2026";"TG012034";"1g";"136,57";"";"21.01.2026";"160,80";"2x 1g in einer Bestellung (Hier Portokosten berechent 5,90Euro)";"24,23";"18417"
"16.01.2026";"TG012034";"1g";"136,57";"";"19.01.2026";"155,85";"";"19,28";"18405"
"16.01.2026";"TG012034";"1g";"136,57";"";"19.01.2026";"160,80";"";"24,23";"18408"
"16.01.2026";"TG012034";"1g";"136,57";"";"12.01.2026";"160,80";"";"24,23";"18409"
"16.01.2026";"TG012034";"1g";"136,57";"";"";"";"";"";""
"16.01.2026";"TG012034";"1g";"136,57";"";"";"";"";"";""
"16.01.2026";"TG012034";"1g";"136,57";"";"";"";"";"";""
"19.01.2026";"TG012037";"1g";"139,43";"";"";"";"";"";""
"19.01.2026";"TG012037";"1g";"139,43";"";"";"";"";"";""
"19.01.2026";"TG012037";"1g";"139,43";"";"";"";"";"";""
"19.01.2026";"TG012037";"1g";"139,43";"";"";"";"";"";""
"19.01.2026";"TG012037";"1g";"139,43";"";"";"";"";"";""
"19.01.2026";"TG012037";"1g";"139,43";"";"";"";"";"";""
"19.01.2026";"TG012037";"1g";"139,43";"";"";"";"";"";""
"19.01.2026";"TG012037";"1g";"139,43";"";"";"";"";"";""
"30.01.2026";"TG012049";"1g";"123,45";"";"29.01.2026";"123,99";"";"0,54";"1234567890"
"30.01.2026";"TG012053";"1g";"56746,00";"";"";"";"";"";""
"30.01.2026";"TG012054";"1g";"3456789,00";"";"";"";"";"";""
